rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20180122;105929;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20180122;161531;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00007;00007;0000001060
 ;20180430;083909;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00005;00005;0000001060
 ;20180430;184842;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20180514;182918;R            ;  ;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00010;00010;0000001181
 ;20180517;184755;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00010;00010;0000001059
 ;20180530;182915;R            ;  ;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00010;00010;0000001181
 ;20180611;080529;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00020;00020;0000001059
 ;20180615;185537;R            ;  ;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001059
 ;20180616;091017;R            ;  ;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00010;00010;0000001059
 ;20180628;185054;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20180629;080751;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00030;00030;0000001059
 ;20180712;175305;R            ;  ;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00020;00020;0000001059
 ;20180718;185330;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00010;00010;0000001059
 ;20180808;185257;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20180809;085546;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00050;00050;0000001059
 ;20180905;084039;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20180905;084133;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00020;00020;0000001059
 ;20180917;185233;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00030;00030;0000001059
 ;20180927;152826;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20180927;153011;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00030;00030;0000001059
 ;20181024;184836;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00050;00050;0000001059
 ;20181107;185136;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00040;00040;0000001059
 ;20181115;184833;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00030;00030;0000001059
 ;20181128;185012;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00050;00050;0000001059
 ;20181213;152949;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20181213;153506;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20181213;154107;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00080;00080;0000001059
 ;20190107;162822;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20190107;163009;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00050;00050;0000001059
 ;20190114;154219;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00000;00000;0000001060
 ;20190116;154507;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00040;00040;0000001059
 ;20190117;184210;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00050;00050;0000001059
 ;20190128;120506;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00030;00030;0000001059
 ;20190205;185240;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00050;00050;0000001059
 ;20190213;183449;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00045;00045;0000001059
 ;20190219;081047;U            ;01;O;023853031    ;CEFAZOLINA TEVA*IM 1F 1G+F 4ML                              ;00041;00041;0000001059
